Decoder=3
🍎4GTV,#genre#
龍華日韓台,http://141.11.86.78/4gtv/4gtv.php?ch=28
八大精彩台,http://141.11.86.78/4gtv/4gtv.php?ch=172
靖天戲劇台,http://141.11.86.78/4gtv/4gtv.php?ch=116
靖洋戲劇台,http://141.11.86.78/4gtv/4gtv.php?ch=118
CI 罪案偵查頻道,http://141.11.86.78/4gtv/4gtv.php?ch=215
視納華仁紀實頻道,http://141.11.86.78/4gtv/4gtv.php?ch=38
影迷數位紀實台,http://141.11.86.78/4gtv/4gtv.php?ch=212
金光布袋戲,http://141.11.86.78/4gtv/4gtv.php?ch=236
ROCK Action,http://141.11.86.78/4gtv/4gtv.php?ch=180
采昌影劇台,http://141.11.86.78/4gtv/4gtv.php?ch=25
靖天映畫,http://141.11.86.78/4gtv/4gtv.php?ch=42
靖天電影台,http://141.11.86.78/4gtv/4gtv.php?ch=82
龍華電影台,http://141.11.86.78/4gtv/4gtv.php?ch=121
影迷數位電影台,http://141.11.86.78/4gtv/4gtv.php?ch=40
amc電影台,http://141.11.86.78/4gtv/4gtv.php?ch=39
CinemaWorld,http://141.11.86.78/4gtv/4gtv.php?ch=225
My Cinema Europe HD 我的歐洲電影,http://141.11.86.78/4gtv/4gtv.php?ch=176
好消息2台,http://141.11.86.78/4gtv/4gtv.php?ch=8
好消息,http://141.11.86.78/4gtv/4gtv.php?ch=9
大愛二台,http://141.11.86.78/4gtv/4gtv.php?ch=230
人間衛視,http://141.11.86.78/4gtv/4gtv.php?ch=210
半島國際新聞台,http://141.11.86.78/4gtv/4gtv.php?ch=85
VOA美國之音,http://141.11.86.78/4gtv/4gtv.php?ch=86
CNBC Asia 財經台,http://141.11.86.78/4gtv/4gtv.php?ch=235
DW德國之聲,http://141.11.86.78/4gtv/4gtv.php?ch=226
國會頻道1,http://141.11.86.78/4gtv/4gtv.php?ch=170
國會頻道2,http://141.11.86.78/4gtv/4gtv.php?ch=171
TVBS綜藝台,http://141.11.86.78/4gtv/4gtv.php?ch=284
TVBS台劇台,http://141.11.86.78/4gtv/4gtv.php?ch=285
經典電影台,http://141.11.86.78/4gtv/4gtv.php?ch=201
經典卡通台,http://141.11.86.78/4gtv/4gtv.php?ch=202
兒童卡通台,http://141.11.86.78/4gtv/4gtv.php?ch=269
精選動漫台,http://141.11.86.78/4gtv/4gtv.php?ch=204
戲劇免費看 1台,http://141.11.86.78/4gtv/4gtv.php?ch=270
戲劇免費看 2台,http://141.11.86.78/4gtv/4gtv.php?ch=244
電影免費看 2台,http://141.11.86.78/4gtv/4gtv.php?ch=245
超人力霸王整套看,http://141.11.86.78/4gtv/4gtv.php?ch=278
花系列 經典劇場,http://141.11.86.78/4gtv/4gtv.php?ch=279
